kata,terjemahan,penjelasan_arti,contoh
Conom,Mata terfokus,Turunan: Teconom (Melotot),
Canggang,Tercengang,Turunan: Ticanggang (Ternganga keheranan karena kagum / takjub),
Caddok / kaddok,Dahi yang menjorok kedalam,,
Da'an,Tidak,,
Dalu,Larut Malam,,
Da'an kelada'an,Tidak terasa,,
Dolo'k,Dulu / Dahulu,,
Da'an meladde,Tidak sadar,,
Disse',Tidak ada,,
Dak Semanggah,Sembrono,,
Dappot,Warung kecil,,
Dare,Panggilan untuk gadis belia,Turunan: Nak dare (Panggilan untuk gadis belia),
Dako',Peluk,Turunan: Bedako (Berpelukan),
Dappak,Depa / sepanjang sebelah tangan,,
Darat,Daerah hulu / jauh dari muara,,
Danggol,Kayu alas yang melintang / Tunggul,Turunan: Tedanggol (Tersandung),
Eng,Nya,,
Elak,Posisi berjalan yang agak ngangkang (seperti anak yang habis di khitan),,
Endek,Pendek (Nama gelar),,
Empoye,Tempo Dulu,,
Endah,Lain dari yang lain,,
Ela' / Ngela',Menghidari lemparan,,
Entet,Berjalan dengan sebelah kaki,,
Engkong,Lengan tak bias diluruskan,,
Gadoh-gadoh,Repot,,
Gerattak,Jembatan,,
Gaikimane / Gaimane,Bagaimana,,
Gerattus,Belum cukup matang untuk sesuatu yang dimasak,,
Gaito'k / getto',Begini,,
Gerendel,Kunci gembok,,
Gayye / giye,Begitu,,
Gerete,Sepeda,,
Galli',Geli,Turunan: Ngalie'k (Geli),
Gogon,Betah,,
Gopoh,Tidak cermat / tergesa-gesa,,
Gane,Bisul besar; Cacing laut,,
Gabbar,Kain selimut,,
Gumpe,Pompa,,
Gare,Agar / Supaya,,
Gassa',Penekanan untuk membenarkan sesuatu yang kelupaan,Turunan: Gassa'nye (Penekanan untuk membenarkan sesuatu yang kelupaan); Gass'ang; Gassa'nye; Gass'ang,
Gattok,Ngetuk / jitak,,
Gawak,Gagal,,
Gayal,Lambat,,
Gummol,Gerumul,,
Gek,Semasa,Turunan: Gek Kaccik (Semasa); Gek dolo' (Semasa kecil); Gek Mare'k (Pada waktu dahulu),
Begummol,Bergerumul,,
Gantang,Media mengukur isi padi / beras,Turunan: Segantang (Padi sebanyak 5 kg),
Garong,Pipa kecil,,
Garang,Pemarah,,
Gurring,Baring,Turunan: Tanggal garang (Siap di khitan / lepas masa anak-anak),
Gaggai,Selalu goyah,,
Gammok lempok,Gemuk menggemaskan,,
Gatti',Jijik,,
Gammal / Ngammal,Menangkap ikan dengan tangan kosong,,
Ganyer-ganyer,Bergoyang-goyang tertahan,,
Gabbok,Serbuk kayu,,
Hattam (Khatam),Selesai / Tamat,,
Hangas,Gos-ngosan,,
Hantam,Lanjutkan / Selalukan {kasar},,
Haus,Dahaga,,
Hajar,Pukul,,
Hol,Penghabisan / terahir / tuntas,,
Heng,Nasib bagus,,
Hantak mati gille,Maju tak gentar,,
Ille',Hilir,Turunan: Keullu-keille' (Hilir),
Ingkoset,Mustahil,,
Intah (entah),Tidak tahu,,
Interutup,Tidak bisa diam / interupsi,,
Inyyan,Benar,,
Insanak,Sanak saudara,,
Singinyan,Tidak main-main,,
Inna'-inna'nye,Satu-satunya,,
Isse',Isi,Turunan: Ngisse' (Isi),
Incabbi',Bermuka masam,,
Incibie'k,Capung / Butterfly,,
Itto',Ini,Turunan: itto'dih (Ini),
Inda',Tidak,,
Iye,Itu,Turunan: Iye be (Itu),
Intare,Pembatas,,
Incinat,Melotot,Turunan: Tecinat (Melotot),
Inciringan,Kolong tempat pencucian pecah belah,,
