kata,terjemahan,penjelasan_arti,contoh
Tambe,Obat,,
Tamping,Tempat berbentuk segi empat di rumah tempat menyimpan padi,,
Tibak,Tetak,,
Ticancang,Terpancang,,
Tidanggol,Tersandung,,
Tige',Leher,,
Tikincik,Berak tapi hanya sedikit tahi yang keluar,,
Tingkap,Telungkup,,
Tirantak,Terjatuh dengan posisi terduduk,,
Tisirapik,Terjepit,,
Tebam,Orang yang gemuk dan besar,,
Tolen,Itu saja,,
Tongge',Pantat yang besar,,
Tulah,Kualat,,
Tungkang,Sisa buah padi yang masih ada di batang setelah dipanen,,
Umak,Panggilan kepada ibu kandung,,
Ume,Sawah,,
Urat,Saraf,,
Uwan,Nenek,,
